mile_marker,latitude,longitude,elevation_m,elevation_ft
0,31.333673,-110.28275728,1803.0,5916
25,31.44519024402772,-110.48764167557776,1698.0,5571
50,31.54132332659455,-110.75284874942427,1238.0,4062
75,31.747208641170875,-110.74165754599969,1596.0,5236
100,31.932910485969536,-110.66755525157188,1196.0,3924
125,32.14732291287173,-110.64249438505736,1034.0,3393
150,32.32269307748364,-110.6162791009386,1226.0,4023
175,32.43254812432528,-110.7767003523398,2405.0,7891
200,32.66206926050086,-110.73367954880146,1181.0,3875
225,32.863769982659115,-110.87202294544753,1225.0,4019
250,33.07759140410058,-110.98708341627756,717.0,2352
275,33.164635019140675,-111.14047072804502,1022.0,3353
300,33.38193876535596,-111.13994837,1048.0,3438
325,33.60436348167301,-111.11389088564415,1147.0,3763
350,33.700524756320824,-111.32299039136008,1680.0,5512
375,33.90524149633164,-111.4945154645336,1204.0,3950
400,34.0810298893293,-111.4804994106893,1853.0,6080
425,34.26497977929657,-111.51878418942464,1291.0,4236
450,34.37992828263809,-111.37952601088357,1790.0,5873
475,34.56992858876095,-111.21542455212186,2244.0,7363
500,34.77211452319394,-111.37016986220698,2268.0,7441
525,34.98655701565637,-111.47699718070412,2197.0,7208
550,35.15399447013543,-111.5713711909079,2143.0,7031
575,35.27336597001763,-111.65294968285848,2397.0,7865
600,35.49586904328026,-111.70115353842114,2105.0,6907
625,35.731421369739884,-111.79922972886362,1951.0,6401
650,35.95638564001455,-111.96883852418176,2271.0,7451
675,36.091846264394434,-112.0892624728516,1091.0,3580
700,36.33059223870985,-112.11351860897148,2694.0,8839
725,36.57400450544719,-112.1741652626232,2651.0,8698
750,36.85159154641186,-112.15114141744796,2056.0,6746
