name,latitude,longitude
mi 0 - Campo (Mexican Border),32.589741150000066,-116.46698064499998
mi 20 - Lake Morena (Kick-off!),32.68985466200007,-116.50974017199997
mi 42.8 - Mt Laguna,32.88833850000003,-116.42592849999994
mi 77 - Scissors Crossing (Hwy 78 to Julian),33.11004980000007,-116.47633529999996
mi 109.5 - Warner Springs,33.297148900000025,-116.63234219999998
Idyllwild, 33.744196, -116.716031
mi 179.4 - Saddle Jct. (Devils Slide-Idyllwild),33.79853500000007,-116.70716779999998
mi 209.5 - Interstate 10 (Cabazon),33.973616400000026,-116.67435789999996
mi 266 - Hwy 18 (Big Bear),34.290657500000066,-116.86418339999994
mi 342 - Interstate 15 (Cajon Pass),34.29053390000007,-117.52675969999996
mi 454.5 - Agua Dulce,34.590623900000026,-118.33127069999995
mi 566.5 - Tehachapi Pass (Tehachapi),35.20055510000003,-118.22969979999999
"mi 652 - Walker Pass (Onyx, Kernville)",35.75055900000007,-118.03796589999996
mi 702 - Kennedy Meadows,36.176906200000076,-118.13500049999999
mi 745.3 - Trail Pass (to Lone Pine),36.493736400000046,-118.32534059999995
mi 767 - Crabtree Meadows (Mt.Whitney),36.70690470000005,-118.36611069999998
Mt. Whitney, 36.57855501120355, -118.2927751094552
mi 779.5 - Forester Pass,36.80461210000004,-118.39793809999998
mi 788.9 - Kearsarge Pass Trail (to Independence),36.899564600000076,-118.40987889999997
mi 791.1 - Glen Pass,36.91953090000004,-118.39402339999998
mi 807.2 - Pinchot Pass,37.06026460000004,-118.49170249999997
mi 816.9 - Mather Pass,37.08751300000006,-118.59486449999997
mi 857.7 - Muir Trail Ranch,37.34834200000006,-118.87848569999994
mi 878.7 - VVR Ferry Trail (Vermillion Valley Resort),37.50809680000003,-118.92943249999996
Mammoth, 37.64722928727853, -118.96706657430231
mi 906.7 - Reds Meadow (Shuttle to Mammoth),37.71153080000005,-119.11652209999994
mi 942.5 - Hwy 120 (Tuolumne Meadows),37.98334100000005,-119.38758599999994
mi 1016.9 - Hwy 108 (Sonora Pass),38.44085140000004,-119.68654159999994
mi 1092.3 - Echo Lake (South Lake Tahoe),38.91185640000003,-120.13640729999997
Lake Tahoe, 39.09534126132412, -120.05308883674277
mi 1157.1 - Donner Summit (Interstate 80 to Truckee),39.42523901800007,-120.44887841999997
mi 1195.4 - Hwy 49 (Sierra City),39.65172764400006,-120.66877461899998
mi 1286.9 - Hwy 70 (Beldon),40.07518692800005,-121.37194712899998
mi 1323.2 - PCT Mid-way Post,40.35065362800003,-121.36112573599996
mi 1328.8 - Hwy 36 (Chester),40.39865035200006,-121.37377665099996
mi 1350.1 - Drakesbad Guest Ranch,40.57059845400005,-121.45712508599996
mi 1373.4 - Old Station Post Office,40.80106794200003,-121.41076056899999
mi 1411.3 - Hwy 299 (Burney),41.03397430100006,-121.75766627799999
mi 1419 - McArther-Burney Falls State Park,41.09674703200005,-121.79740090699994
mi 1501.2 - Interstate 5 (Castle Crag-Castella),41.19735920000005,-122.42310139999995
mi 1599.7 - Etna Summit (Etna),41.53524670000007,-123.13557309999999
mi 1655.9 - Seiad Valley,41.94988230000007,-123.08491219999996
mi 1691.7 - California / Oregon Border,42.07269310000004,-122.69612359999996
mi 1718.9 - Interstate 5 (Callahan’s-Ashland),42.14893280000007,-122.50896759999995
mi 1773.4 - Hwy 140 (Fish Lake),42.60009780000007,-122.21359179999996
mi 1820.9 - Hwy 62 (Mazama Village),43.02584870000004,-122.09880899999996
mi 1847.8 - Hwy 138 (Cascade Crest),43.280395300000066,-121.99715269999996
mi 1906.6 - Shelter Cove Resort,43.78932050000003,-121.96787589999997
mi 1907.9 - Hwy 58 (Willamette Pass),43.80567440000004,-121.96272339999996
mi 1983.8 - Hwy 242 (McKenzie Pass),44.48030660000006,-121.85188229999994
mi 1995.1 - Big Lake Youth Camp,44.59280570000004,-121.79585049999997
mi 2000.9 - Hwy 20 (Santiam Pass),44.64160670000007,-121.82903999999996
mi 2045.6 - Olallie Lake Resort,45.048928200000034,-121.71094139999997
mi 2091.7 - Hwy 35 (Barlow Pass),45.43753340000006,-121.80341799999997
mi 2097 - Timberline Lodge (Mt Hood),45.48480930000005,-121.84899829999995
mi 2146.9 - Cascade Locks (Bridge of the Gods),45.79301250000003,-122.0015464
mi 2228.9 - Forest Rd 23 (to Trout Lake),46.36811370000004,-121.50589289999999
mi 2277 - Goat Rocks,46.71660940000004,-121.39300649999996
mi 2294.9 - Hwy 12 (White Pass - Packwood),46.86123770000006,-121.49875899999995
mi 2323.5 - Hwy 410 (Chinook Pass),47.12666360000003,-121.39694519999995
mi 2393.2 - Interstate 90 (Snoqualmie Pass),47.50295900000003,-121.23195079999999
mi 2464.1 - Hwy 2 (Stevens Pass - Skykomish),47.96023420000006,-121.15296369999999
mi 2571.9 - High Bridge (Bus to Stehekin),48.58876440000006,-120.74597609999995
mi 2591.1 - Hwy 20-Rainy Pass (Mazama & Winthrop),48.73002240000005,-120.66868869999996
mi 2622 - Harts Pass,49.00030170000008,-120.80210519999997
mi 2652.6 - Monument 78 (Canadian Border),49.00030170000008,-120.80210519999997
mi 2661.4 - Hwy 3 (Manning Prov. Park),49.00030170000008,-120.80210519999997
